Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Geographical_Location,Vehicle_Speed,Fraud_indicator,state,month,time-of-day
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,2,1
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,3,16
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,3,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,4,23
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,5,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,5,6
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,6,21
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,6,13
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,7,4
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,7,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,8,11
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,9,2
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,9,18
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",49,Not Fraud,Karnataka,10,9
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,10,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,11,16
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,11,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,12,23
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,12,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,1,6
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",85,Fraud,Karnataka,1,21
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,2,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,2,4
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,3,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,4,11
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,4,2
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",77,Fraud,Karnataka,5,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,5,9
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,6,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,6,16
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,7,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,8,23
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,8,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,6,18
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,7,9
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,7,1
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,8,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,8,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,9,23
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,10,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",90,Fraud,Karnataka,10,6
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,11,21
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,11,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",58,Fraud,Karnataka,12,4
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,12,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,1,11
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,1,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,2,18
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",89,Fraud,Karnataka,2,9
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,3,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,3,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,4,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,5,23
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,5,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,6,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,6,21
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,7,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",49,Not Fraud,Karnataka,7,4
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",74,Fraud,Karnataka,8,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,8,11
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,9,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,10,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,10,9
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,11,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,11,16
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,12,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,12,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,1,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,1,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,2,21
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",77,Fraud,Karnataka,2,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,3,4
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",91,Fraud,Karnataka,4,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",50,Not Fraud,Karnataka,4,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",75,Not Fraud,Karnataka,5,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",59,Not Fraud,Karnataka,5,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,6,9
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,6,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,7,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",45,Not Fraud,Karnataka,7,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,8,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,9,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,9,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",51,Not Fraud,Karnataka,10,21
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",73,Fraud,Karnataka,10,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,11,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,11,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",70,Not Fraud,Karnataka,12,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,12,2
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,1,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,1,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",65,Not Fraud,Karnataka,2,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,3,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,3,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,4,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,4,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",89,Fraud,Karnataka,5,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,5,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,6,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,7,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,7,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,8,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,8,1
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,9,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,9,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,10,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,10,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,11,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,11,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,12,13
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,1,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,1,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",84,Fraud,Karnataka,2,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,2,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,3,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",49,Not Fraud,Karnataka,3,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",76,Fraud,Karnataka,4,1
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,5,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,5,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,6,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",96,Fraud,Karnataka,6,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,7,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,7,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,8,13
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,8,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,9,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,10,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,10,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,11,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,11,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,12,1
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,12,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,1,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,10,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,11,4
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",64,Not Fraud,Karnataka,12,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,12,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,1,2
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,1,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,2,9
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",82,Fraud,Karnataka,2,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,3,16
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",90,Fraud,Karnataka,4,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,4,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,5,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",58,Not Fraud,Karnataka,5,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",87,Fraud,Karnataka,6,21
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,6,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,7,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,7,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,8,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,9,2
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",79,Fraud,Karnataka,9,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,10,9
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,10,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,11,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",78,Fraud,Karnataka,11,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,12,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",85,Fraud,Karnataka,1,14
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",49,Not Fraud,Karnataka,1,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,2,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",69,Fraud,Karnataka,2,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,3,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",57,Fraud,Karnataka,3,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,4,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,5,2
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,5,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,6,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,6,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,7,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,7,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",53,Not Fraud,Karnataka,8,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,8,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",64,Fraud,Karnataka,9,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,10,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",50,Not Fraud,Karnataka,10,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",75,Fraud,Karnataka,11,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",59,Not Fraud,Karnataka,11,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,12,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,12,1
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,1,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",45,Not Fraud,Karnataka,1,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",80,Fraud,Karnataka,2,0
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,2,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,3,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",51,Not Fraud,Karnataka,4,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,4,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",56,Fraud,Karnataka,5,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,5,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",70,Not Fraud,Karnataka,6,12
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,6,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,7,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,7,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",65,Not Fraud,Karnataka,8,1
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",92,Not Fraud,Karnataka,9,17
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",53,Fraud,Karnataka,9,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,10,23
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,10,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,11,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,11,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,12,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,12,5
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,1,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,1,11
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",80,Not Fraud,Karnataka,2,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",62,Not Fraud,Karnataka,3,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,3,10
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",47,Not Fraud,Karnataka,4,1
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",73,Not Fraud,Karnataka,4,16
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",68,Not Fraud,Karnataka,5,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",91,Not Fraud,Karnataka,5,23
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,6,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,7,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",56,Not Fraud,Karnataka,7,22
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",84,Not Fraud,Karnataka,8,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,8,4
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,9,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,9,11
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,10,3
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,10,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",88,Not Fraud,Karnataka,11,9
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,11,1
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",96,Not Fraud,Karnataka,12,16
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,1,8
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",85,Not Fraud,Karnataka,1,23
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Fraud,Karnataka,2,15
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,2,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,3,21
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",90,Fraud,Karnataka,3,13
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",48,Not Fraud,Karnataka,4,4
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",77,Not Fraud,Karnataka,5,20
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",60,Not Fraud,Karnataka,5,11
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,6,2
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,3,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",97,Not Fraud,Karnataka,4,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",46,Not Fraud,Karnataka,5,14
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",81,Not Fraud,Karnataka,5,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",64,Fraud,Karnataka,6,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",93,Not Fraud,Karnataka,6,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",57,Not Fraud,Karnataka,7,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",86,Not Fraud,Karnataka,7,19
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",55,Not Fraud,Karnataka,8,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",82,Not Fraud,Karnataka,8,1
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",63,Not Fraud,Karnataka,9,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",90,Not Fraud,Karnataka,10,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",48,Fraud,Karnataka,10,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",76,Not Fraud,Karnataka,11,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",58,Not Fraud,Karnataka,11,7
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",87,Not Fraud,Karnataka,12,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",67,Not Fraud,Karnataka,12,13
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",94,Not Fraud,Karnataka,1,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",71,Not Fraud,Karnataka,1,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",89,Not Fraud,Karnataka,2,12
Bus ,C-103,Express,Large,"13.059816123454882, 77.77068662374292",52,Not Fraud,Karnataka,2,3
Car,A-101,Regular,Small,"13.059816123454882, 77.77068662374292",79,Not Fraud,Karnataka,3,18
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",66,Not Fraud,Karnataka,4,10
Truck,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",95,Not Fraud,Karnataka,4,1
Van,B-102,Express,Medium,"13.059816123454882, 77.77068662374292",44,Not Fraud,Karnataka,5,17
Sedan,A-101,Regular,Medium,"13.059816123454882, 77.77068662374292",78,Not Fraud,Karnataka,5,8
SUV,B-102,Express,Large,"13.059816123454882, 77.77068662374292",61,Not Fraud,Karnataka,6,0
Bus ,C-103,Regular,Large,"13.059816123454882, 77.77068662374292",85,Fraud,Karnataka,6,15
Car,A-101,Express,Small,"13.059816123454882, 77.77068662374292",49,Fraud,Karnataka,7,6
Motorcycle,D-105,Regular,Small,"13.059816123454882, 77.77068662374292",74,Not Fraud,Karnataka,7,22
Truck,C-103,Express,Large,"13.059816123454882, 77.77068662374292",69,Not Fraud,Karnataka,8,13
Van,B-102,Regular,Medium,"13.059816123454882, 77.77068662374292",92,Fraud,Karnataka,9,5
Sedan,A-101,Express,Medium,"13.059816123454882, 77.77068662374292",57,Fraud,Karnataka,9,20
SUV,B-102,Regular,Large,"13.059816123454882, 77.77068662374292",83,Not Fraud,Karnataka,10,11
